platform,day_of_the_week,post_type,impressions,hashtag,hastages_category,number_of_hastage,unnamed:_11,performance_binary,day_code,hour,time_code,hashtag_count,post_type_code,platform_code
Instagram,5,carousel,1623,#SocialMediaGrowth #brewyourbrand #cafebussines #coffeelovers #brandingstrategy #digitalmarketing #socialmediastrategy #growwithgraphura,Environment & Sustainability,8,,0,4,0,0,8,1,0
Instagram,1,reel,225,#instagram #facebook #twitter #collobration,Environment & Sustainability,4,,1,0,0,0,4,3,0
Instagram,5,carousel,130,#ProductDesign #CleanAirVibes #HealthyLiving #smartliving,Environment & Sustainability,4,,1,4,0,0,4,1,0
Instagram,6,image,113,#IndianCoastGuardDay #MaritimeSafety #NationalPride #DesignForImpact,Environment & Sustainability,4,,1,5,0,0,4,2,0
Instagram,5,image,107,#GoRocketFast #BusinessGrowth #DigitalMarketing #CreativeAgency,Business & Marketing,4,,1,4,0,0,4,2,0
Instagram,4,image,116,#MartyrsDay #ShaheedDiwas #SaluteToHeroes #NationFirst,Business & Marketing,4,,1,3,0,0,4,2,0
Instagram,3,carousel,178,#GraphuraIndia #FinancialMarketing #BrandGrowth #businessmarketing,Environment & Sustainability,4,,1,2,0,0,4,1,0
Instagram,2,image,185,#BrandingByGraphura #LogoDesign #BrandStorytelling #ʙʀᴀɴᴅɪᴅᴇɴᴛɪᴛʏ,Business & Marketing,4,,1,1,0,0,4,2,0
Instagram,1,carousel,294,#DesignedByGraphura #BikeAdvertising #CarouselDesign #SocialMediaCreatives,Business & Marketing,4,,1,0,0,0,4,1,0
Instagram,7,reel,767,#GraphuraIndia #MarketingEvolution #OldVsNewMarketing #DigitalMarketingAgency,Business & Marketing,4,,1,6,0,0,4,3,0
Instagram,7,reel,380,#26thJanuary #Graphura #DesignTutorial #PosterDesign,National & Cultural,4,,1,6,0,0,4,3,0
Instagram,6,image,174,#NationalTourismDay #graphura #CareerJourney #professionalgrowth,Business & Marketing,4,,1,5,0,0,4,2,0
Instagram,5,image,167,#Graphura #EmpowerHer #GirlsInLeadership #futureleaders,Business & Marketing,4,,1,4,0,0,4,2,0
Instagram,4,image,225,#2KFollowers #LinkedInGrowth #MilestoneMoment #CommunityDriven,Business & Marketing,4,,1,3,0,0,4,2,0
Instagram,3,image,238,#NetajiJayanti #Graphura #GraphuraIndia #leadership,National & Cultural,4,,1,2,0,0,4,2,0
Instagram,2,image,194,#CreativeStrategy #BusinessGrowth #BrandConsultation #DesignStrategy,Business & Marketing,4,,1,1,0,0,4,2,0
Instagram,1,carousel,222,#BrandingDesign #VisualIdentity #HaircareBranding #creativedesign,Festivals & Culture,4,,1,0,0,0,4,1,0
Instagram,7,carousel,341,#digitalmarketing #GymBranding #FitnessBusiness #GymMarketing,Business & Marketing,4,,1,6,0,0,4,1,0
Instagram,6,reel,1012,#service #instagram #webdevelopment #graphicdesign,Business & Marketing,4,,0,5,0,0,4,3,0
Instagram,5,carousel,288,#GraphuraDesigns #CreativeDesign #SocialMediaDesign #CarouselPost,Business & Marketing,4,,1,4,0,0,4,1,0
Instagram,4,image,191,#startup #insta #ideas #entrepreneur,Business & Marketing,4,,1,3,0,0,4,2,0
Instagram,3,reel,532,#digitalmarketingagency #smmservices #seoexpert #paidads,Business & Marketing,4,,1,2,0,0,4,3,0
Instagram,2,image,233,#HappyMakarSankranti #HappyPongal #FestiveWishes #indian,Festivals & Culture,4,,1,1,0,0,4,2,0
Instagram,2,carousel,308,#design #bakery #foodbranding #bakerymarketing,Business & Marketing,4,,1,1,0,0,4,1,0
Instagram,7,image,217,,Other,1,,1,6,0,0,0,2,0
