Platform,Day of the Week,Date,Post type,Impressions,Likes,Shares,Comments,Hashtag,Hastages category,Number of Hastage,
Instagram,5,11 April 2025,carousel,1623,32,0,0,#SocialMediaGrowth #brewyourbrand #cafebussines #coffeelovers #brandingstrategy #digitalmarketing #socialmediastrategy #growwithgraphura,Environment & Sustainability,8,
Instagram,1,02 February 2026,reel,225,13,0,0,#instagram #facebook #twitter #collobration,Environment & Sustainability,4,
Instagram,5,02 January 2026,carousel,130,6,0,0,#ProductDesign #CleanAirVibes #HealthyLiving #smartliving,Environment & Sustainability,4,
Instagram,6,31 January 2026,image,113,6,0,0,#IndianCoastGuardDay #MaritimeSafety #NationalPride #DesignForImpact,Environment & Sustainability,4,
Instagram,5,30 January 2026,image,107,7,0,0,#GoRocketFast #BusinessGrowth #DigitalMarketing #CreativeAgency,Business & Marketing,4,
Instagram,4,29 January 2026,image,116,8,0,0,#MartyrsDay #ShaheedDiwas #SaluteToHeroes #NationFirst,Business & Marketing,4,
Instagram,3,28 January 2026,carousel,178,10,0,0,#GraphuraIndia #FinancialMarketing #BrandGrowth #businessmarketing,Environment & Sustainability,4,
Instagram,2,27 January 2026,image,185,9,1,0,#BrandingByGraphura #LogoDesign #BrandStorytelling #ʙʀᴀɴᴅɪᴅᴇɴᴛɪᴛʏ,Business & Marketing,4,
Instagram,1,26 January 2026,carousel,294,13,0,0,#DesignedByGraphura #BikeAdvertising #CarouselDesign #SocialMediaCreatives,Business & Marketing,4,
Instagram,7,25 January 2026,reel,767,36,6,2,#GraphuraIndia #MarketingEvolution #OldVsNewMarketing #DigitalMarketingAgency,Business & Marketing,4,
Instagram,7,25 January 2026,reel,380,16,2,1,#26thJanuary #Graphura #DesignTutorial #PosterDesign,National & Cultural,4,
Instagram,6,24 January 2026,image,174,11,1,0,#NationalTourismDay #graphura #CareerJourney #professionalgrowth,Business & Marketing,4,
Instagram,5,23 January 2026,image,167,16,0,0,#Graphura #EmpowerHer #GirlsInLeadership #futureleaders,Business & Marketing,4,
Instagram,4,22 January 2026,image,225,20,1,0,#2KFollowers #LinkedInGrowth #MilestoneMoment #CommunityDriven,Business & Marketing,4,
Instagram,3,21 January 2026,image,238,17,1,0,#NetajiJayanti #Graphura #GraphuraIndia #leadership,National & Cultural,4,
Instagram,2,20 January 2026,image,194,11,2,0,#CreativeStrategy #BusinessGrowth #BrandConsultation #DesignStrategy,Business & Marketing,4,
Instagram,1,19 January 2026,carousel,222,15,0,0,#BrandingDesign #VisualIdentity #HaircareBranding #creativedesign,Festivals & Culture,4,
Instagram,7,18 January 2026,carousel,341,15,1,0,#digitalmarketing #GymBranding #FitnessBusiness #GymMarketing,Business & Marketing,4,
Instagram,6,17 January 2026,reel,1012,26,4,1,#service #instagram #webdevelopment #graphicdesign,Business & Marketing,4,
Instagram,5,16 January 2026,carousel,288,17,2,0,#GraphuraDesigns #CreativeDesign #SocialMediaDesign #CarouselPost,Business & Marketing,4,
Instagram,4,15 January 2026,image,191,15,1,0,#startup #insta #ideas #entrepreneur,Business & Marketing,4,
Instagram,3,14 January 2026,reel,532,29,1,0,#digitalmarketingagency #smmservices #seoexpert #paidads,Business & Marketing,4,
Instagram,2,13 January 2026,image,233,17,1,1,#HappyMakarSankranti #HappyPongal #FestiveWishes #indian,Festivals & Culture,4,
Instagram,2,01 December 2026,carousel,308,25,1,0,#design #bakery #foodbranding #bakerymarketing,Business & Marketing,4,
Instagram,7,01 November 2026,image,217,14,1,1,N/A,Other,1,
Instagram,4,01 October 2026,image,179,20,0,0,"#HumanTraffickingAwarenessDay #FreedomForAll #RaiseYourVoice #SocialImpactDesign
Graphura",National & Cultural,4,
Instagram,2,01 September 2026,image,600,70,1,55,#SpreadSmiles #PositiveVibes #CreativeEnergy #graphura,Career & Learning,4,
Instagram,6,01 August 2026,carousel,459,19,1,1,#SkincareBranding #ProductBranding #DesignAgency #VisualIdentity,Business & Marketing,4,
Instagram,3,01 July 2026,image,209,19,0,0,#Graphura #BusinessIntelligence #DataDriven #TechSolutions,Business & Marketing,4,
Instagram,1,01 June 2026,image,273,17,1,0,#ProfessionalWebDevelopment #WebSolutions #FrontendDevelopment #BackendDevelopment,Business & Marketing,4,
Instagram,5,01 May 2026,image,298,14,1,0,#DataAnalytics #BusinessIntelligence #Graphura #DataDriven,Business & Marketing,4,
Instagram,5,01 May 2026,carousel,459,23,0,0,#Graphura2026 #NewBeginnings #HackathonIndia #placementopportunities,Business & Marketing,4,
Instagram,3,01 April 2026,image,290,18,1,0,#InclusiveDesign #AccessibilityMatters #DesignWithPurpose #Graphura,Business & Marketing,4,
Instagram,7,01 February 2026,image,358,15,3,0,#SalesOptimization #DigitalGrowth #CRO #MarketingStrategy,Tech & Analytics,4,
Instagram,4,01 January 2026,image,355,19,1,0,#Graphura #NewBeginnings #CreativeAgency #DesignStudio,Tech & Analytics,4,
Instagram,3,31 December 2025,image,234,14,0,0,#NewYearsEve #Graphura #CreativeDesign #DesignStudio,Business & Marketing,4,
Instagram,2,30 December 2025,carousel,414,19,0,0,#GraphicDesign #CreativeAgency #BrandDesign #VisualIdentity,Business & Marketing,4,
Instagram,1,29 December 2025,image,325,17,0,0,#LogoDesign #BrandIdentity #CreativeDesign #BrandingDesign,Business & Marketing,4,
Instagram,7,28 December 2025,reel,2252,36,0,1,#CreativeAgency #BrandDesign #GraphicDesign #VisualIdentity,Career & Learning,4,
Instagram,6,27 December 2025,image,352,14,1,0,#GraphicDesign #CreativeDesign #BrandVisuals #MarketingGraphics,National & Social Impact,4,
Instagram,5,26 December 2025,reel,752,18,0,0,#CreativeDesign #DigitalBranding #VisualStorytelling #ReelDesign,National & Social Impact,4,
Instagram,3,24 December 2025,image,333,16,0,0,#Graphura #FestiveDesign #CreativeBranding #DesignWithPurpose,National & Social Impact,4,
Instagram,1,22 December 2025,image,299,13,0,0,#FarmersOfIndia #RespectOurFarmers #FeedingTheNation #AgricultureIndia,National & Social Impact,4,
Instagram,1,22 December 2025,reel,508,16,0,0,#CreativeDesign #VisualStorytelling #BrandIdentity #DigitalCreativity,Business & Marketing,4,
Instagram,6,20 December 2025,image,319,13,1,0,#UIUXDesign #UserExperience #UXUI #DesignAgency,Business & Marketing,4,
Instagram,6,20 December 2025,carousel,426,15,1,0,#CreativeAgency #DigitalDesign #BrandIdentity #VisualContent,Business & Marketing,4,
Instagram,4,18 December 2025,reel,356,19,2,0,#CreativeAgency #DigitalMarketing #BrandingDesign #SocialMediaContent,Business & Marketing,4,
Instagram,3,17 December 2025,image,308,12,0,0,#SocialMediaMarketing #DigitalMarketing #BrandGrowth #OnlinePresence,Tech & Analytics,4,
Instagram,2,16 December 2025,image,365,14,0,0,#Graphura #CreativeEditing #CinematicQuality #VisualStorytelling,Career & Learning,4,
Instagram,1,15 December 2025,reel,790,26,1,0,#InternshipCulture #FutureProfessionals #SkillDevelopment #BrandIdentity,Business & Marketing,4,
Instagram,7,14 December 2025,image,379,12,0,0,#Graphura #DigitalMarketing #LeadGeneration #bulkemail,Career & Learning,4,
Instagram,6,13 December 2025,image,370,13,0,0,#SaveEnergy #SustainableFuture #GreenThinking #EcoAwareness,Environment & Sustainability,4,
Instagram,5,12 December 2025,image,418,12,1,0,#WebDesignServices #WebsiteDevelopment #DigitalPresence #ResponsiveDesign,Career & Learning,4,
Instagram,7,12 October 2025,reel,761,20,0,0,#BrandGrowth #CreativeDesigns #DigitalBranding #ContentThatConnects,Business & Marketing,4,
Instagram,7,12 October 2025,image,699,16,2,0,#BeyondProfit #EntrepreneurJourney #QalaExim,Career & Learning,3,
Instagram,7,12 October 2025,image,393,11,0,0,#ContentWriting #ContentCreator #SEOArticles #Copywriting,Business & Marketing,4,
Instagram,2,12 August 2025,image,490,17,0,0,#StandForEquality #JusticeForAll #RightsMatter #VoiceForHumanity,Business & Marketing,4,
Instagram,6,12 July 2025,reel,577,16,1,0,#BrandExcellence #LogoDesign #VisualImpact #CreativeSolutions,Business & Marketing,4,
Instagram,4,12 June 2025,image,551,16,0,0,#IndianArmedForces #SaluteToHeroes #ProudIndian #NationFirst,National & Social Impact,4,
Instagram,4,12 June 2025,image,542,13,0,0,#BrandGrowth #SocialMediaMarketing #FacebookMarketing #SEOServices,Career & Learning,4,
Instagram,1,12 May 2025,reel,628,17,0,0,#BrandPresence #MarketingAgency #CreativeSolutions #DigitalBranding,Business & Marketing,4,
Instagram,7,12 January 2025,carousel,667,13,0,0,#SolarEnergyIndia #RenewableEnergyBrand #SolarBusinessGrowth #DigitalMarketingForSolar #Graphura #BrandWithGraphura #SolarLeadGeneration,Business & Marketing,7,
Instagram,6,29 November 2025,reel,1333,29,1,0,#CreateWithGraphura #Graphura #GraphuraOnline #BrandDesign #CreativeAgency #SocialMediaDesign #BrandingStudio #DigitalCreators #ContentDesign #graphicdesignindia,Business & Marketing,10,
Instagram,5,28 November 2025,carousel,772,13,0,0,#CarRentalDesign #BrandWithGraphura #CreativeDesigns #DigitalBranding #SmartBooking #RentACar #DesignThatSpeaks #MarketingContent #visualbranding,Business & Marketing,9,
Instagram,2,25 November 2025,reel,752,25,2,0,"#GraphuraOnline #BrandDesign #CreativeAgency #DigitalBranding
#ContentStrategy #KeywordOptimization #SocialMediaGrowth #DesignExperts
#brandvisibility",Business & Marketing,7,
Instagram,1,24 November 2025,carousel,1066,17,1,0,"#DesignLoud #CreateBold #EditSmart
#WatchLovers #LuxuryWatch #TimepieceStyle
#WatchPhotography #ModernDesign #brandvisuals",National & Social Impact,7,
Instagram,7,23 November 2025,image,901,11,0,0,#GoogleSolutions #BusinessGrowth #DigitalMarketing #LeadGeneration #SmartAds #MarketingStrategy #BrandVisibility #GrowYourBusiness,National & Social Impact,8,
Instagram,5,21 November 2025,carousel,936,14,0,0,#BrandIdentity #Graphura #CreativeAgency #FurnitureDesign #VisualBranding,Business & Marketing,5,
Instagram,5,21 November 2025,carousel,911,15,0,0,#GraphuraDesigns #CreativeByGraphura #FreshlyBaked #BakedWithLove #DessertDesign #SweetCreatives #CarouselDesign #VisualDesign #DesignAgency #FoodPhotography #CreativeVisuals #DesignMagic #Foodstagram #i̇nstadesign,Business & Marketing,14,
Instagram,3,19 November 2025,carousel,912,15,0,0,#PropertySales #MarketingStrategy #Graphura #BrandingSolutions #digitalmarketing,Business & Marketing,5,
Instagram,3,19 November 2025,image,794,17,0,0,#ScriptWriting #Graphura #DigitalCreatives #Storytelling #BrandGrowth,Business & Marketing,5,
Instagram,2,18 November 2025,carousel,846,17,0,0,#EthnicFashion #BrandIdentity #FashionMarketing #CreativeAgency #DigitalBranding #ContentStrategy #FashionBusiness #EthnicWear #BrandGrowth #DesignAgency #SocialMediaBranding,Business & Marketing,11,
Instagram,7,16 November 2025,carousel,815,17,0,0,#Jewellery #CreativeDesign #BrandingAgency #VisualExcellence #LuxuryVisuals #DesignStudio #DigitalCreatives,Business & Marketing,7,
Instagram,6,15 November 2025,image,718,16,0,0,#DigitalMarketing #BrandGrowth #SocialMediaTips #MarketingEssentials #Graphura #contentmarketingagency,Business & Marketing,6,
Instagram,5,14 November 2025,image,928,22,1,0,#CareerGrowth #ProfessionalDevelopment #MotilalOswal #GraphuraIndia #CareerTips #SkillBuilding #ProfessionalCV #StudentCommunity #LearningSession,Career & Learning,9,
Instagram,4,13 November 2025,image,673,19,0,0,#graphuraindiaprivatelimited #creative #creativity #thinking #children #childrensday #happy,Business & Marketing,7,
Instagram,4,13 November 2025,image,862,18,0,0,#JBKnowledgePark #CareerOpportunities #InternshipLife #SkillDevelopment #WorkTogether #FutureGoals,Career & Learning,6,
Instagram,4,11 December 2025,image,1651,19,1,0,#VideoEditing #CreativeExperts #DigitalStorytelling #ContentCreation #VideoVisionaries,Business & Marketing,5,
Instagram,2,11 November 2025,carousel,1622,22,0,0,#SkinCareEssentials #GlowWithGraphura #BoldSkinCare #RadiantSkin #DesignLeadBeauty,Business & Marketing,5,
Instagram,6,11 October 2025,image,1445,21,0,0,#DesignYourBrand #CreativeDesigns #LogoDesign #PosterDesign #FlyerDesign #businessbranding,Business & Marketing,6,
Instagram,5,11 July 2025,image,1935,33,1,1,#AIinEducation #ProfessionalNetworking #LinkedInGrowth #CareerDevelopment #ResearchAndInnovation #DigitalLearning #Networking #skillbuilding,Business & Marketing,8,
Instagram,5,11 July 2025,carousel,1696,29,0,0,#graphura #design #designer #stationary #student #shop,Health & Fitness,6,
Instagram,3,11 June 2025,image,1765,25,2,1,#WebsiteDesign #WebDevelopment #DigitalSolutions #BusinessGrowth #BrandIdentity #CreativeDesign #professionalwebsite,Business & Marketing,7,
Instagram,5,11 April 2025,image,1450,28,1,0,#Graphura #DesignThatSpeaks #FestivalOfLights #CreateBold #EditSmart #DesignLoud #DigitalCreatives #FestivalDesign #indianfestival,Health & Fitness,9,
Instagram,5,11 April 2025,image,1723,26,0,1,#Graphura #lpu #lpuuniversity #collobration #internship #achivement,Health & Fitness,6,
Linkedin,5,02 January 2026,image,479,90,0,139,#IndianCoastalDay #IndiaCoastline #CoastalIndia #SustainableDevelopment #BlueEconomy #MaritimeIndia #EnvironmentalAwareness #Graphura #GraphuraIndia,Environment & Sustainability,9,
Linkedin,6,31 January 2026,image,228,91,0,159,#Graphaura #GoRocketFast #BusinessGrowth #DigitalMarketing #CreativeAgency #BrandingDesign #StartupIndia #GrowYourBusiness #DesignSmart #EditSmart #CreateBold #indiastartup,Business & Marketing,12,
Linkedin,5,30 January 2026,image,231,92,0,141,#MartyrsDay #ShaheedDiwas #SaluteToHeroes #NationFirst #RememberTheBrave #IndianHeroes #SacrificeForNation #ProudIndian #Graphura,National & Social Impact,9,
Linkedin,4,29 January 2026,image,248,95,0,166,#Graphura #Marketing #BrandGrowth #BusinessMarketing #StartupMarketing #DigitalGrowth #MarketingForBrands #ScaleYourBrand #BusinessStrategy ,Business & Marketing,10,
Linkedin,3,28 January 2026,image,425,100,0,168,#Graphura #BrandingByGraphura #LogoDesign #BrandStorytelling #BrandIdentity #CreativeBranding #StartupBranding,Business & Marketing,7,
Linkedin,2,27 January 2026,image,366,90,0,119,#Graphura #DesignedByGraphura #BikeAdvertising #CarouselDesign #SocialMediaCreatives #DigitalMarketing #VisualStorytelling,Business & Marketing,7,
